species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,43.5,14.2,220,4700,female,2008
Gentoo,50.7,15,223,5550,male,2008
Gentoo,47.7,15,216,4750,female,2008
Gentoo,46.4,15.6,221,5000,male,2008
Gentoo,48.2,15.6,221,5100,male,2008
Gentoo,46.5,14.8,217,5200,female,2008
Gentoo,46.4,15,216,4700,female,2008
Gentoo,48.6,16,230,5800,male,2008
Gentoo,47.5,14.2,209,4600,female,2008
Gentoo,51.1,16.3,220,6000,male,2008
Gentoo,45.2,13.8,215,4750,female,2008
Gentoo,45.2,16.4,223,5950,male,2008
Gentoo,49.1,14.5,212,4625,female,2009
Gentoo,52.5,15.6,221,5450,male,2009
Gentoo,47.4,14.6,212,4725,female,2009
Gentoo,50,15.9,224,5350,male,2009
Gentoo,44.9,13.8,212,4750,female,2009
Gentoo,50.8,17.3,228,5600,male,2009
Gentoo,43.4,14.4,218,4600,female,2009
Gentoo,51.3,14.2,218,5300,male,2009
Gentoo,47.5,14,212,4875,female,2009
Gentoo,52.1,17,230,5550,male,2009
Gentoo,47.5,15,218,4950,female,2009
Gentoo,52.2,17.1,228,5400,male,2009
Gentoo,45.5,14.5,212,4750,female,2009
Gentoo,49.5,16.1,224,5650,male,2009
Gentoo,44.5,14.7,214,4850,female,2009
Gentoo,50.8,15.7,226,5200,male,2009
Gentoo,49.4,15.8,216,4925,male,2009
Gentoo,46.9,14.6,222,4875,female,2009
Gentoo,48.4,14.4,203,4625,female,2009
Gentoo,51.1,16.5,225,5250,male,2009
Gentoo,48.5,15,219,4850,female,2009
Gentoo,55.9,17,228,5600,male,2009
Gentoo,47.2,15.5,215,4975,female,2009
Gentoo,49.1,15,228,5500,male,2009
Gentoo,46.8,16.1,215,5500,male,2009
Gentoo,41.7,14.7,210,4700,female,2009
Gentoo,53.4,15.8,219,5500,male,2009
Gentoo,43.3,14,208,4575,female,2009
Gentoo,48.1,15.1,209,5500,male,2009
Gentoo,50.5,15.2,216,5000,female,2009
Gentoo,49.8,15.9,229,5950,male,2009
Gentoo,43.5,15.2,213,4650,female,2009
Gentoo,51.5,16.3,230,5500,male,2009
Gentoo,46.2,14.1,217,4375,female,2009
Gentoo,55.1,16,230,5850,male,2009
Gentoo,48.8,16.2,222,6000,male,2009
Gentoo,47.2,13.7,214,4925,female,2009
Gentoo,46.8,14.3,215,4850,female,2009
Gentoo,50.4,15.7,222,5750,male,2009
Gentoo,45.2,14.8,212,5200,female,2009
Gentoo,49.9,16.1,213,5400,male,2009
Chinstrap,46.5,17.9,192,3500,female,2007
Chinstrap,50,19.5,196,3900,male,2007
Chinstrap,51.3,19.2,193,3650,male,2007
Chinstrap,45.4,18.7,188,3525,female,2007
Chinstrap,52.7,19.8,197,3725,male,2007
Chinstrap,45.2,17.8,198,3950,female,2007
Chinstrap,46.1,18.2,178,3250,female,2007
Chinstrap,51.3,18.2,197,3750,male,2007
Chinstrap,46,18.9,195,4150,female,2007
Chinstrap,51.3,19.9,198,3700,male,2007
Chinstrap,46.6,17.8,193,3800,female,2007
Chinstrap,51.7,20.3,194,3775,male,2007
Chinstrap,47,17.3,185,3700,female,2007
Chinstrap,52,18.1,201,4050,male,2007
Chinstrap,45.9,17.1,190,3575,female,2007
Chinstrap,50.5,19.6,201,4050,male,2007
Chinstrap,50.3,20,197,3300,male,2007
Chinstrap,58,17.8,181,3700,female,2007
Chinstrap,46.4,18.6,190,3450,female,2007
Chinstrap,49.2,18.2,195,4400,male,2007
Chinstrap,42.4,17.3,181,3600,female,2007
Chinstrap,48.5,17.5,191,3400,male,2007
Chinstrap,43.2,16.6,187,2900,female,2007
Chinstrap,50.6,19.4,193,3800,male,2007
Chinstrap,46.7,17.9,195,3300,female,2007
Chinstrap,52,19,197,4150,male,2007
Chinstrap,50.5,18.4,200,3400,female,2008
Chinstrap,49.5,19,200,3800,male,2008
Chinstrap,46.4,17.8,191,3700,female,2008
Chinstrap,52.8,20,205,4550,male,2008
Chinstrap,40.9,16.6,187,3200,female,2008
Chinstrap,54.2,20.8,201,4300,male,2008
Chinstrap,42.5,16.7,187,3350,female,2008
Chinstrap,51,18.8,203,4100,male,2008
Chinstrap,49.7,18.6,195,3600,male,2008
Chinstrap,47.5,16.8,199,3900,female,2008
Chinstrap,47.6,18.3,195,3850,female,2008
Chinstrap,52,20.7,210,4800,male,2008
Chinstrap,46.9,16.6,192,2700,female,2008
Chinstrap,53.5,19.9,205,4500,male,2008
Chinstrap,49,19.5,210,3950,male,2008
Chinstrap,46.2,17.5,187,3650,female,2008
Chinstrap,50.9,19.1,196,3550,male,2008
Chinstrap,45.5,17,196,3500,female,2008
Chinstrap,50.9,17.9,196,3675,female,2009
Chinstrap,50.8,18.5,201,4450,male,2009
Chinstrap,50.1,17.9,190,3400,female,2009
Chinstrap,49,19.6,212,4300,male,2009
Chinstrap,51.5,18.7,187,3250,male,2009
Chinstrap,49.8,17.3,198,3675,female,2009
Chinstrap,48.1,16.4,199,3325,female,2009
Chinstrap,51.4,19,201,3950,male,2009
Chinstrap,45.7,17.3,193,3600,female,2009
Chinstrap,50.7,19.7,203,4050,male,2009
Chinstrap,42.5,17.3,187,3350,female,2009
Chinstrap,52.2,18.8,197,3450,male,2009
Chinstrap,45.2,16.6,191,3250,female,2009
Chinstrap,49.3,19.9,203,4050,male,2009
Chinstrap,50.2,18.8,202,3800,male,2009
Chinstrap,45.6,19.4,194,3525,female,2009
Chinstrap,51.9,19.5,206,3950,male,2009
Chinstrap,46.8,16.5,189,3650,female,2009
Chinstrap,45.7,17,195,3650,female,2009
Chinstrap,55.8,19.8,207,4000,male,2009
Chinstrap,43.5,18.1,202,3400,female,2009
Chinstrap,49.6,18.2,193,3775,male,2009
Chinstrap,50.8,19,210,4100,male,2009
Chinstrap,50.2,18.7,198,3775,female,2009
Adelie,39.1,18.7,180,3740,male,2007
Adelie,39.5,19.4,187,3809,female,2007
Adelie,40.3,17,197,3260,female,2007
Adelie,36.7,17.3,197,3448,female,2007
Adelie,39.3,19.6,185,3657,male,2007
Adelie,38.9,17.8,183,3617,female,2007
Adelie,40.2,19.6,193,4678,male,2007
Adelie,40.1,16.6,178,3198,female,2007
Adelie,39.6,19.2,191,3795,male,2007
Adelie,33.6,22.1,203,4410,male,2007
Adelie,37.6,18.8,186,3710,female,2007
Adelie,38.7,21,197,3446,female,2007
Adelie,41.5,18.7,197,4502,male,2007
Adelie,34.4,19.4,179,3330,female,2007
Adelie,45,23.5,198,4209,male,2007
Adelie,36.8,19.3,177,3399,female,2007
Adelie,36.7,16.7,183,3595,male,2007
Adelie,35.9,19.2,187,3790,female,2007
Adelie,37.2,18.1,186,3948,male,2007
Adelie,38.8,19.2,176,3806,male,2007
Adelie,34.3,18.9,189,3806,female,2007
Adelie,39.6,20.6,179,3545,male,2007
Adelie,39.5,19.9,187,3208,female,2007
Adelie,36.9,20.6,174,3142,female,2007
Adelie,41.5,16.9,178,3941,male,2007
Adelie,38.5,14.7,174,3254,female,2007
Adelie,37.2,19.1,177,3891,male,2007
Adelie,40.5,19.8,185,3292,female,2007
Adelie,40.9,16.9,181,3898,male,2007
Adelie,37.4,16,199,3326,female,2007
Adelie,40.2,23.1,200,4147,male,2007
Adelie,39.8,21,189,3949,male,2007
Adelie,43.2,18.5,181,3544,female,2007
Adelie,36.6,19.3,177,3309,female,2007
Adelie,40.8,18.1,186,4658,male,2007
Adelie,36.5,18,184,3149,female,2007
Adelie,41.8,20.4,192,3904,male,2007
Adelie,37,18.5,186,3091,female,2007
Adelie,43.1,19.7,192,4390,male,2007
Adelie,38,18.9,181,2996,female,2007
Adelie,39.6,18.8,189,4594,male,2007
Adelie,41.1,20,179,3427,male,2007
Adelie,36,15.9,186,3444,female,2007
Adelie,41.3,19.2,187,4153,male,2007
Adelie,39.6,15.7,187,3500,female,2008
Adelie,40.1,19.9,187,4309,male,2008
Adelie,36,16.9,186,3456,female,2008
Adelie,42,17.5,197,4059,male,2008
Adelie,34.5,18.1,182,2891,female,2008
Adelie,42.4,19.6,190,3706,male,2008
Adelie,39,19.5,186,3555,female,2008
Adelie,39.6,18.8,195,3808,male,2008
Adelie,37.5,18.6,181,2860,female,2008
Adelie,38.6,19.1,192,3752,male,2008
Adelie,36.7,14.9,181,3147,female,2008
Adelie,40.3,19.1,192,4402,male,2008
Adelie,38.6,17,183,3598,female,2008
Adelie,41.1,20.2,188,4059,male,2008
Adelie,36.4,15.1,182,2846,female,2008
Adelie,40.6,19,187,3949,male,2008
Adelie,36.5,15.2,200,3342,female,2008
Adelie,40.1,21.1,188,4106,male,2008
Adelie,36.9,18.6,185,3053,female,2008
Adelie,41.8,17.4,200,4442,male,2008
Adelie,33.5,18,193,3601,female,2008
Adelie,38.7,20.4,195,3905,male,2008
Adelie,40.6,16.2,193,3542,female,2008
Adelie,45.8,16.9,193,4150,male,2008
Adelie,36.5,16.5,194,3701,female,2008
Adelie,42.8,20.5,199,4245,male,2008
Adelie,40.9,15.8,194,3690,female,2008
Adelie,38.2,17.4,185,3897,male,2008
Adelie,35.2,17.1,190,3555,female,2008
Adelie,42.1,18.1,196,3992,male,2008
Adelie,34.6,19.2,193,3192,female,2008
Adelie,43.9,15.6,193,4695,male,2008
Adelie,37.7,19.8,187,3806,female,2008
Adelie,34.1,19.4,198,4198,male,2008
Adelie,37.3,15.8,190,3342,female,2008
Adelie,41.3,21.3,196,3560,male,2008
Adelie,37.3,21.5,193,3798,male,2008
Adelie,35.9,18.6,188,3500,female,2008
Adelie,38.3,19.2,192,3949,male,2008
Adelie,37.9,17.8,192,3593,female,2008
Adelie,36.7,16,206,3555,female,2008
Adelie,40.1,20.1,204,4304,male,2008
Adelie,34,15.1,190,3401,female,2008
Adelie,39.6,19.1,189,4450,male,2008
Adelie,37.2,18.3,182,3305,female,2008
Adelie,40.8,16.9,212,4290,male,2008
Adelie,39.1,18.6,193,3707,female,2008
Adelie,40.3,16.5,199,4348,male,2008
Adelie,33.1,18.1,175,2907,female,2008
Adelie,44.2,18.5,193,4097,male,2008
Adelie,35,18.9,193,3731,female,2009
Adelie,41,22,207,4720,male,2009
Adelie,37.7,18,178,3078,female,2009
Adelie,37.8,20,191,4250,male,2009
Adelie,36.9,16.6,192,2915,female,2009
Adelie,39.7,18.9,182,3544,male,2009
Adelie,38.6,16.2,204,3744,female,2009
Adelie,39.2,21,192,3896,male,2009
Adelie,37.1,18,186,3170,female,2009
Adelie,44.2,19,202,4766,male,2009
Adelie,37.1,14.5,198,3822,female,2009
Adelie,46.6,21.3,190,4598,male,2009
Adelie,38.7,18.7,198,3205,female,2009
Adelie,43.2,17.5,201,4268,male,2009
Adelie,38.6,19.7,186,3904,female,2009
Adelie,42.7,20.3,201,4083,male,2009
Adelie,38.6,18,188,2899,female,2009
Adelie,38.3,19.5,200,3772,male,2009
Adelie,34.7,16,188,3356,female,2009
Adelie,40.1,20.6,189,3320,male,2009
Adelie,36.2,16.2,186,3160,female,2009
Adelie,38.7,21.8,193,3503,male,2009
Adelie,39.2,18,177,3447,female,2009
Adelie,42.4,18.5,198,3874,male,2009
Adelie,35.2,16.9,191,3050,female,2009
Adelie,41.6,18,197,3990,male,2009
Adelie,39.8,18.6,195,3269,female,2009
Adelie,42.5,17.3,196,4308,male,2009
Adelie,40,19.1,188,3056,female,2009
Adelie,44.1,16,210,3999,male,2009
Adelie,39.5,17.9,185,3326,female,2009
Adelie,43.1,19.2,197,3504,male,2009
Adelie,36.8,19.5,196,3501,female,2009
Adelie,38.5,17.5,194,4468,male,2009
Adelie,38.1,17.6,191,3421,female,2009
Adelie,42.1,16.5,185,3893,male,2009
Adelie,36.6,15.5,189,3179,female,2009
Adelie,41.2,21.1,197,3972,male,2009
Adelie,38,18.5,185,3394,female,2009
Adelie,39.7,15.9,189,4240,male,2009
Adelie,39.2,18.1,188,3392,female,2009
Adelie,41.6,17.2,188,3469,male,2009
Adelie,31.1,16.5,193,3041,female,2009
Adelie,41.7,18,186,3717,male,2009
Adelie,36.3,14.8,187,2995,female,2009
Adelie,39,20.7,180,3649,male,2009
Adelie,39.2,20.6,194,4247,male,2009
Adelie,36.6,18.4,188,3477,female,2009
Adelie,36,15.8,191,3447,female,2009
Adelie,36.8,20.1,188,3741,male,2009
Adelie,35,16.1,187,3707,female,2009
Adelie,41.5,18.5,202,3999,male,2009
Gentoo,47.1,13.2,216,4509,female,2007
Gentoo,49,15.3,235,5694,male,2007
Gentoo,48.7,12.1,205,4446,female,2007
Gentoo,50,16.2,215,5692,male,2007
Gentoo,47.6,12.5,215,5395,male,2007
Gentoo,45.5,12.5,207,4541,female,2007
Gentoo,46.4,13.6,212,4808,female,2007
Gentoo,47.7,14.3,223,5191,male,2007
Gentoo,42.3,15.4,208,4406,female,2007
Gentoo,46.8,16.4,213,5156,male,2007
Gentoo,40.9,14.7,209,4642,female,2007
Gentoo,50,14.1,213,5551,male,2007
Gentoo,44.5,15.7,215,4658,female,2007
Gentoo,48.4,16.6,211,5857,male,2007
Gentoo,44.8,12.6,208,4204,female,2007
Gentoo,50.3,15.7,218,5844,male,2007
Gentoo,42,12.5,213,4152,female,2007
Gentoo,48.2,14.2,226,6308,male,2007
Gentoo,45.2,15.5,212,4800,female,2007
Gentoo,49.7,13.1,221,5358,male,2007
Gentoo,51.2,16.3,215,5709,male,2007
Gentoo,45.1,14.5,210,4990,female,2007
Gentoo,47.5,14.5,214,4391,female,2007
Gentoo,46.3,17.8,215,5058,male,2007
Gentoo,42.9,13.1,216,4996,female,2007
Gentoo,45.1,16.1,214,5110,male,2007
Gentoo,47.8,14,213,5654,male,2007
Gentoo,47.2,13.3,214,4602,female,2007
Gentoo,50,14.3,222,5547,male,2007
Gentoo,48.3,14.3,226,5240,male,2007
Gentoo,43.8,13.2,207,4691,female,2007
Gentoo,46.1,14.5,211,5051,female,2007
Gentoo,59.6,16,228,6058,male,2007
Gentoo,50.1,14.8,224,5144,female,2008
Gentoo,49.4,14.3,219,5404,male,2008
Gentoo,42.6,14.7,211,4951,female,2008
Gentoo,43.4,17.3,217,5255,male,2008
Gentoo,43,14.6,209,4342,female,2008
Gentoo,49.7,17.7,209,5351,male,2008
Gentoo,41.7,11.7,209,3947,female,2008
Gentoo,49.6,16,228,5690,male,2008
Gentoo,44.3,15.7,214,4303,female,2008
Gentoo,50.6,13,218,4749,male,2008
Gentoo,49.5,17.9,217,5556,male,2008
Gentoo,42.6,14.9,214,4892,female,2008
Gentoo,46.5,13.9,211,4210,female,2008
Gentoo,50.5,17.9,228,5395,male,2008
Gentoo,45.9,15.3,211,5102,female,2008
Gentoo,46.2,13.8,216,5295,male,2008
Gentoo,45.6,14.2,210,4851,female,2008
Gentoo,49.5,16.1,219,5293,male,2008
Gentoo,46.1,12.4,210,4400,female,2008
Gentoo,51.1,15,230,5009,male,2008
Gentoo,46.5,15.4,220,4908,female,2008
Gentoo,46,15.4,224,5046,male,2008
Gentoo,44.8,12.9,211,4308,female,2008
Gentoo,46.5,14,218,4999,male,2008
Gentoo,42.2,12.5,209,4445,female,2008
Gentoo,51.4,15.3,228,5559,male,2008
Gentoo,44.3,15.8,208,4197,female,2008
Gentoo,46.2,14.9,217,5290,male,2008
Gentoo,44.7,11.9,219,4390,female,2008
Gentoo,53.3,14.7,231,5644,male,2008
Gentoo,45.8,13.2,215,4708,female,2008
Gentoo,49.8,15.8,231,5694,male,2008
Gentoo,48.5,18.2,233,5792,male,2008
Gentoo,43.5,15.2,219,4700,female,2008
Gentoo,51.7,14,222,5557,male,2008
Gentoo,47.7,16,221,4748,female,2008
Gentoo,45.4,17.6,223,5009,male,2008
Gentoo,49.2,15.6,222,5094,male,2008
Gentoo,47.5,13.8,214,5205,female,2008
Gentoo,46.4,13,221,4698,female,2008
Gentoo,49.6,16,226,5806,male,2008
Gentoo,46.5,14.2,208,4610,female,2008
Gentoo,52.1,16.3,216,6006,male,2008
Gentoo,44.2,14.8,211,4757,female,2008
Gentoo,44.2,18.4,222,5953,male,2008
Gentoo,49.1,12.5,209,4618,female,2009
Gentoo,53.5,14.6,219,5458,male,2009
Gentoo,48.4,12.6,217,4721,female,2009
Gentoo,50,14.9,224,5351,male,2009
Gentoo,44.9,13.8,211,4755,female,2009
Gentoo,50.8,15.3,228,5607,male,2009
Gentoo,44.4,12.4,217,4591,female,2009
Gentoo,51.3,14.2,213,5302,male,2009
Gentoo,46.5,12,208,4875,female,2009
Gentoo,53.1,18,231,5555,male,2009
Gentoo,46.5,15,222,4956,female,2009
Gentoo,52.2,19.1,223,5403,male,2009
Gentoo,45.5,12.5,209,4753,female,2009
Gentoo,48.5,17.1,220,5657,male,2009
Gentoo,44.5,13.7,213,4854,female,2009
Gentoo,50.8,14.7,222,5193,male,2009
Gentoo,48.4,16.8,212,4918,male,2009
Gentoo,45.9,13.6,226,4870,female,2009
Gentoo,49.4,12.4,198,4624,female,2009
Gentoo,52.1,18.5,226,5255,male,2009
Gentoo,47.5,14,218,4843,female,2009
Gentoo,54.9,17,223,5593,male,2009
Gentoo,48.2,15.5,210,4978,female,2009
Gentoo,49.1,15,229,5510,male,2009
Gentoo,46.8,16.1,216,5499,male,2009
Gentoo,40.7,16.7,205,4698,female,2009
Gentoo,52.4,13.8,223,5506,male,2009
Gentoo,44.3,14,213,4583,female,2009
Gentoo,48.1,17.1,206,5496,male,2009
Gentoo,50.5,16.2,213,5009,female,2009
Gentoo,50.8,15.9,230,5957,male,2009
Gentoo,42.5,13.2,217,4642,female,2009
Gentoo,52.5,18.3,227,5493,male,2009
Gentoo,47.2,12.1,221,4374,female,2009
Gentoo,55.1,14,226,5846,male,2009
Gentoo,48.8,15.2,223,6005,male,2009
Gentoo,48.2,13.7,214,4916,female,2009
Gentoo,47.8,16.3,216,4848,female,2009
Gentoo,49.4,15.7,227,5754,male,2009
Gentoo,45.2,15.8,214,5209,female,2009
Gentoo,50.9,17.1,211,5410,male,2009
Chinstrap,46.5,19.9,188,3494,female,2007
Chinstrap,50,18.5,195,3904,male,2007
Chinstrap,50.3,18.2,197,3651,male,2007
