Player,PTS,Pos,Age,Tm,G,GS,MP,FG,FGA,P3,P3A,P2,P2A,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Matthew Hurt,32,PF,23,MEM,8,0,113,12,34,5,20,7,14,3,3,9,7,16,4,3,3,2,8
Matt Ryan,152,SF,26,NOP,26,1,386,49,113,41,91,8,22,13,14,6,33,39,17,6,1,19,31
Matisse Thybulle,354,SF,26,POR,65,19,1487,126,317,80,231,46,86,22,29,30,106,136,90,113,49,40,93
Mason Plumlee,218,C,33,LAC,42,9,593,79,129,0,2,79,127,60,87,53,152,205,45,12,15,29,63
Mason Jones,7,SG,25,SAC,4,0,22,2,7,2,6,0,1,1,2,1,4,5,5,1,0,1,1
Marvin Bagley III,583,C,24,TOT,50,25,1053,239,408,9,23,230,385,96,126,130,182,312,55,20,33,59,81
Markieff Morris,56,PF,34,DAL,22,1,173,20,54,13,34,7,20,3,4,4,27,31,12,5,1,10,11
Markelle Fultz,305,PG,25,ORL,39,16,836,140,298,4,16,136,282,21,31,54,75,129,113,39,13,45,61
MarJon Beauchamp,197,SF,23,MIL,46,1,593,75,157,28,72,47,85,19,28,22,74,96,30,12,6,27,53
Marcus Smart,289,PG,29,MEM,20,20,605,102,237,42,134,60,103,43,56,6,47,53,86,41,5,62,53
Marcus Sasser,515,PG,23,DET,67,7,1228,193,454,80,213,113,241,49,57,9,107,116,216,41,10,78,99
Marcus Morris,309,PF,34,TOT,48,7,798,113,255,47,115,66,140,36,44,22,109,131,36,15,13,29,72
Mamadi Diakite,12,PF,27,TOT,6,0,24,4,6,0,1,4,5,4,6,1,3,4,2,1,1,1,2
Malik Monk,1110,SG,25,SAC,72,0,1872,396,893,148,423,248,470,170,205,28,184,212,370,45,39,150,156
Malik Beasley,855,SG,27,MIL,75,75,2237,306,690,218,520,88,170,25,35,41,238,279,105,58,9,52,153
Malcolm Brogdon,613,PG,31,POR,39,25,1121,218,496,82,199,136,297,95,116,28,120,148,214,27,8,60,58
Malaki Branham,673,PG,20,SAS,73,27,1546,264,607,90,256,174,351,55,63,28,114,142,153,26,8,89,91
Malachi Flynn,342,PG,25,TOT,65,0,804,120,290,53,157,67,133,49,66,20,91,111,117,33,8,57,63
Luke Kennard,429,SG,27,MEM,39,22,999,141,315,107,238,34,77,40,45,11,102,113,136,20,2,54,39
Luka Garza,90,C,25,MIN,23,0,115,33,72,9,32,24,40,15,22,16,12,28,4,3,1,6,23
Luka Doncic,2302,PG,24,DAL,68,68,2553,782,1604,272,712,510,892,466,593,56,570,626,667,99,37,275,143
Luguentz Dort,826,SF,24,OKC,76,76,2176,277,633,149,379,128,254,123,149,74,205,279,106,67,47,74,222
Lonnie Walker IV,538,SG,25,BRK,56,0,949,196,464,101,257,95,207,45,59,11,106,117,67,30,17,49,68
Lindy Waters III,110,SG,26,OKC,35,0,250,40,89,28,71,12,18,2,2,7,30,37,20,5,6,6,21
Lindell Wigginton,6,PG,25,MIL,3,0,8,2,5,0,2,2,3,2,2,0,0,0,0,0,0,1,1
Lester Quinones,150,SG,23,GSW,35,0,375,51,130,30,81,21,49,18,27,20,50,70,33,6,2,16,41
LeBron James,1724,PF,39,LAL,68,68,2390,647,1207,145,351,502,856,285,382,56,435,491,556,80,37,229,77
Leaky Black,54,SF,24,CHO,23,3,233,19,41,7,15,12,26,9,14,8,31,39,19,5,8,5,16
Lauri Markkanen,1278,PF,26,UTA,55,55,1820,427,890,175,439,252,451,249,277,122,327,449,110,50,26,77,100
Larry Nance Jr.,335,C,31,NOP,59,0,1166,133,231,26,62,107,169,43,57,88,209,297,107,58,19,47,95
Landry Shamet,327,SG,26,WAS,46,5,726,118,274,53,157,65,117,38,46,16,46,62,54,25,10,30,76
LaMelo Ball,526,PG,22,CHO,22,22,711,183,423,70,197,113,226,90,104,29,84,113,176,40,4,83,79
Lamar Stevens,256,PF,26,TOT,37,2,522,104,227,12,41,92,186,36,48,34,87,121,25,22,18,23,43
Kyrie Irving,1444,SG,31,DAL,56,56,1955,546,1101,166,405,380,696,186,205,42,237,279,286,70,25,103,107
Kyle Lowry,480,PG,37,TOT,58,53,1642,161,372,97,247,64,125,61,73,33,154,187,243,58,21,81,142
Kyle Kuzma,1553,PF,28,WAS,70,70,2281,608,1313,151,450,457,863,186,240,62,402,464,296,37,49,192,153
Kyle Anderson,497,PF,30,MIN,75,10,1707,196,418,11,47,185,371,94,131,60,209,269,321,68,43,88,117
Kristaps Porzingis,1131,C,28,BOS,56,56,1665,383,740,108,288,275,452,257,300,95,306,401,114,42,109,88,154
Kris Murray,329,SF,23,POR,58,25,1180,130,320,42,156,88,164,27,45,69,121,190,74,50,17,49,78
Kris Dunn,357,PG,29,UTA,66,32,1249,147,313,41,111,106,202,22,32,50,139,189,254,68,28,79,135
Kobe Bufkin,58,SG,20,ATL,13,0,145,24,63,8,32,16,31,2,4,3,20,23,23,6,4,6,12
Kobe Brown,69,PF,24,LAC,40,0,308,28,67,12,39,16,28,1,2,12,38,50,17,6,3,7,42
Klay Thompson,1304,SF,33,GSW,74,60,2194,467,1085,254,661,213,424,116,126,33,212,245,169,48,31,113,124
KJ Martin,224,SF,23,TOT,60,2,746,97,181,8,28,89,153,22,41,41,90,131,51,22,12,32,100
Kira Lewis Jr.,76,PG,22,TOT,27,0,237,28,80,4,31,24,49,16,19,8,15,23,34,8,2,13,12
Killian Hayes,289,PG,22,DET,42,31,1008,117,283,22,74,95,209,33,50,11,108,119,205,36,20,51,75
Khris Middleton,781,SF,32,MIL,52,52,1399,299,610,90,237,209,373,93,112,39,202,241,272,48,15,114,135
Keyonte George,909,PG,20,UTA,71,40,1911,295,764,136,412,159,352,183,214,14,188,202,316,34,7,172,86
Kevon Looney,315,C,27,GSW,71,36,1150,131,220,0,1,131,219,53,79,136,268,404,131,26,23,48,152
Kevin Love,452,PF,35,MIA,51,5,879,146,332,77,227,69,105,83,106,56,260,316,113,17,10,44,92
Kevin Knox,223,SF,24,DET,31,11,560,86,186,31,94,55,92,20,22,18,57,75,23,13,7,22,50
Kevin Huerter,655,SG,25,SAC,64,59,1562,248,560,123,341,125,219,36,47,38,186,224,166,45,23,53,135
Kevin Durant,1944,PF,35,PHO,71,71,2634,716,1359,160,383,556,976,352,411,38,437,475,369,64,88,232,126
Kessler Edwards,93,SF,23,SAC,52,0,262,34,81,20,52,14,29,5,9,9,32,41,14,9,4,3,25
Keon Johnson,28,SG,21,BRK,4,0,51,7,19,4,9,3,10,10,10,3,2,5,3,3,1,4,4
Keon Ellis,249,SG,24,SAC,53,17,863,85,190,56,138,29,52,23,32,28,83,111,77,44,25,31,100
Kentavious Caldwell-Pope,735,SG,30,DEN,72,72,2293,256,561,122,295,134,266,101,112,29,144,173,174,97,39,72,143
Kenrich Williams,308,PF,29,OKC,65,1,972,124,261,53,134,71,127,7,14,60,136,196,82,37,9,27,99
Kenneth Lofton Jr.,48,PF,21,TOT,18,0,120,18,50,4,14,14,36,8,15,3,16,19,14,3,3,8,15
Kendall Brown,17,SG,20,IND,13,0,50,6,11,0,1,6,10,5,8,3,1,4,4,0,0,1,8
Kelly Oubre Jr.,1003,SF,28,PHI,65,49,1973,372,838,97,309,275,529,162,217,91,233,324,99,77,42,85,187
Kelly Olynyk,721,C,32,TOT,75,24,1677,262,474,58,151,204,323,139,168,103,284,387,335,72,30,143,221
Keldon Johnson,1084,SF,24,SAS,69,27,2038,391,862,127,367,264,495,175,221,95,282,377,195,51,20,100,149
Keita Bates-Diop,197,SF,28,TOT,53,8,665,72,166,21,69,51,97,32,42,31,79,110,38,25,22,15,35
Keegan Murray,1103,SF,23,SAC,73,73,2445,419,914,168,472,251,442,97,118,98,295,393,125,73,58,63,198
Kawhi Leonard,1613,SF,32,LAC,68,68,2330,610,1162,140,336,470,826,253,286,84,332,416,244,111,59,119,97
Karl-Anthony Towns,1328,PF,28,MIN,60,60,1969,472,932,134,317,338,615,250,286,91,413,504,179,43,40,169,198
Jusuf Nurkic,810,C,29,PHO,73,73,1996,313,617,22,89,291,528,162,254,218,585,803,280,75,76,166,246
Justin Minaya,45,SF,24,POR,30,0,264,16,50,9,33,7,17,4,8,17,21,38,13,8,10,7,20
Justin Holiday,214,SG,34,DEN,54,9,801,81,176,49,120,32,56,3,4,9,58,67,62,33,9,13,65
Justin Champagnie,78,SF,22,WAS,13,1,197,27,63,13,40,14,23,11,14,17,25,42,16,8,7,10,13
Julius Randle,1102,PF,29,NYK,46,46,1630,395,836,76,244,319,592,236,302,99,324,423,229,25,12,159,125
Julian Strawther,227,SF,21,DEN,47,0,542,82,221,41,138,41,83,22,29,5,55,60,47,17,7,21,54
Julian Phillips,89,SF,20,CHI,40,0,323,32,77,12,38,20,39,13,19,12,24,36,13,7,7,10,40
Julian Champagnie,457,SF,22,SAS,70,55,1351,149,369,94,256,55,113,65,80,40,152,192,94,45,41,49,73
Jules Bernard,55,SG,24,WAS,17,0,117,21,51,9,25,12,26,4,8,7,10,17,13,2,1,4,12
JT Thor,162,PF,21,CHO,59,2,699,65,162,23,71,42,91,9,16,39,87,126,24,9,24,14,54
Jrue Holiday,841,PG,33,BOS,67,67,2203,323,669,135,312,188,357,60,72,80,281,361,327,59,50,120,106
Josh Richardson,425,SG,30,MIA,43,6,1103,154,347,66,190,88,157,51,54,18,103,121,105,24,14,36,76
Josh Okogie,272,SG,25,PHO,57,11,953,84,203,28,93,56,110,76,102,73,79,152,64,47,23,36,68
Josh Minott,43,SF,21,MIN,29,0,83,14,32,3,9,11,23,12,14,4,13,17,7,5,5,2,10
Josh Hart,700,SF,28,NYK,77,38,2548,270,638,76,248,194,390,84,108,121,508,629,314,69,22,111,157
Josh Green,458,SG,23,DAL,54,32,1436,175,355,71,177,104,178,37,55,38,136,174,125,45,9,57,105
Josh Giddey,954,SG,21,OKC,77,77,1942,390,820,80,232,310,588,94,118,109,383,492,368,49,42,158,103
Jose Alvarado,367,PG,25,NOP,52,0,930,131,319,71,186,60,133,34,50,24,94,118,107,56,15,38,80
Jordan Poole,1332,SG,24,WAS,77,65,2313,481,1164,179,551,302,613,191,218,31,178,209,337,85,25,186,242
Jordan Nwora,328,SF,25,TOT,48,1,650,124,273,38,120,86,153,42,49,23,107,130,57,25,10,48,45
Jordan Miller,13,SF,24,LAC,8,0,28,5,9,1,2,4,7,2,2,3,2,5,0,0,0,1,2
Jordan McLaughlin,180,PG,27,MIN,52,0,567,64,136,42,86,22,50,10,14,15,53,68,100,32,7,17,29
Jordan Hawkins,524,SG,21,NOP,66,10,1158,174,454,109,297,65,157,67,80,29,119,148,70,19,7,39,72
Jordan Goodwin,327,PG,25,TOT,54,9,945,126,331,38,127,88,204,37,49,70,139,209,144,41,18,52,70
